,code site,lat,lon
0,FR19012,48.38618,-4.4866
1,FR34051,46.79828,1.693139
2,FR12047,43.80314,1.595475
3,FR16034,48.59043,7.744983
4,FR30026,48.584824,6.4839
5,FR12031,43.44139,1.821944
6,FR18055,49.26034,2.475004
7,FR82512,47.253292,6.016094
8,FR35012,45.80509,2.062333
9,FR31019,43.359722,-0.566944
10,FR07013,46.34,2.605
11,FR05082,49.348,0.109253
12,FR04037,48.82861,2.360278
13,FR07017,44.93133,2.445168
14,FR07004,45.79728,3.113833
15,FR20067,45.72827,4.875669
16,FR09106,45.651463,0.162391
17,FR09206,46.158,-1.155999
18,FR38003,-20.962784,55.296207
19,FR09402,46.570004,0.323575
20,FR01006,49.32083,6.14
21,FR38005,-20.931833,55.30593
22,FR04118,48.870274,2.3325
23,FR37002,16.238056,-61.53754
24,FR39009,14.610653,-61.002586
25,FR37040,16.254086,-61.53713
26,FR30023,48.63334,6.304828
27,FR38001,-20.889893,55.46884
28,FR06011,50.32276,3.39593
29,FR14201,49.34915,4.069595
30,FR06023,50.420288,3.551811
31,FR25501,49.6713,1.2843
32,FR15013,45.07954,5.728653
33,FR31024,43.377193,-0.610278
34,FR23153,47.331524,-2.151625
35,FR39017,14.601469,-61.08533
36,FR25039,49.02134,1.148319
37,FR02003,43.386814,5.16006
38,FR04031,48.86877,2.311231
39,FR27008,45.35327,4.804847
40,FR34062,47.584305,1.332694
41,FR07028,45.929333,2.829806
42,FR29423,46.04111,4.074656
43,FR38022,-20.998577,55.28062
44,FR04034,48.775898,2.375788
45,FR20017,45.73529,4.829794
46,FR07054,45.039,3.887001
47,FR07031,45.10472,3.277361
48,FR19081,48.65473,-1.99614
49,FR39109,14.671083,-61.16336
50,FR18040,49.920666,4.090556
51,FR29441,45.44798,4.388764
52,FR04328,48.3547,2.6453
53,FR35006,45.262665,1.762752
54,FR07202,45.807487,3.111111
55,FR23175,47.43012,-0.610006
56,FR02004,43.41666,5.042731
57,FR05069,49.487682,0.451756
58,FR40006,5.164248,-52.64649
59,FR29428,45.422077,4.412831
60,FR12044,43.633476,1.375717
61,FR08026,43.4282,3.60356
62,FR09405,46.55874,0.506875
63,FR12009,43.604507,1.439778
64,FR19031,47.65704,-2.75826
65,FR23078,47.05583,-0.883576
66,FR18036,49.43889,2.094444
67,FR41073,41.929966,8.739364
68,FR08614,43.8344,4.3744
69,FR30034,48.68817,6.190431
70,FR08030,43.6096,3.89878
71,FR21001,49.19222,-0.391111
72,FR20062,45.757732,4.854214
73,FR82002,47.234905,6.029472
74,FR14013,49.2477,4.034142
75,FR20037,45.6019,4.8022
76,FR20070,45.749695,4.844389
77,FR03014,43.34805,5.360119
78,FR31033,45.189823,0.727184
79,FR34041,48.444416,1.510139
80,FR04048,49.100277,2.343889
81,FR12012,43.635918,1.43175
82,FR03070,43.437874,6.76839
83,FR21101,49.179832,-0.32975
84,FR27003,45.454517,4.766528
85,FR35010,45.829975,1.254772
86,FR08004,43.6051,3.87464
87,FR19037,47.758945,-3.36938
88,FR24036,43.702076,7.286256
89,FR31020,43.41123,-0.617728
90,FR05502,49.4675,0.531
91,FR12029,43.883934,0.845617
92,FR14854,49.396194,4.702
93,FR05081,49.504036,0.411594
94,FR19091,48.347504,-1.20162
95,FR19502,48.1094,-1.68451
96,FR38023,-21.331703,55.47895
97,FR24009,43.558388,7.005919
98,FR39007,14.601889,-61.05759
99,FR05100,49.4994,0.108361
100,FR34102,48.16083,2.043611
101,FR04143,48.859,2.351
102,FR24035,43.68929,7.242074
103,FR03032,43.293137,5.574184
104,FR23070,47.283127,-1.783082
105,FR38009,-20.910585,55.618977
106,FR23069,47.36021,-1.953593
107,FR04123,48.90222,2.390833
108,FR04105,48.8728,2.4219
109,FR38012,-21.342915,55.471928
110,FR01059,49.3374,6.08207
111,FR02013,43.458927,4.934572
112,FR34065,47.996994,2.731511
113,FR01018,49.107502,6.122775
114,FR82011,47.50114,6.786083
115,FR37038,18.070114,-63.081482
116,FR20029,45.6639,4.8459
117,FR02036,43.398804,5.072803
118,FR23188,47.222187,-1.537432
119,FR12016,43.106155,0.71955
120,FR21501,49.178303,-0.31905
121,FR33114,45.25199,6.397194
122,FR02037,43.413944,4.985996
123,FR07045,45.54542,3.248247
124,FR36003,44.94894,4.88975
125,FR06133,50.09225,3.85003
126,FR04018,48.9039,2.3847
127,FR09033,46.157883,-1.267922
128,FR25051,49.918007,1.073972
129,FR05079,49.545414,0.185369
130,FR16302,48.492992,7.1298
131,FR04184,48.231476,2.7061777
132,FR02011,43.43786,4.945116
