GMLID;LocalId;Namespace;Version;NatlStationCode;Name;Municipality;EUStationCode;ActivityBegin;ActivityEnd;Latitude;Longitude;SRSName;Altitude;AltitudeUnit;AreaClassification;BelongsTo
STA-FR19012;STA-FR19012;FR.LCSQA-INERIS.AQ;2;FR19012;Brest Mace;BREST;FR19012;1999-07-07T00:00:00+01:00;;48.38618;-4.4866;urn:ogc:def:crs:EPSG::4326;48;http://dd.eionet.europa.eu/vocabulary/uom/length/m;http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/urban;FR.LCSQA-INERIS.AQ/NET-FR072A
STA-FR34051;STA-FR34051;FR.LCSQA-INERIS.AQ;3;FR34051;Chateauroux Sud;CH�TEAUROUX;FR34051;2000-11-14T00:00:00+01:00;;46.79828;1.693139;urn:ogc:def:crs:EPSG::4326;156;http://dd.eionet.europa.eu/vocabulary/uom/length/m;http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/urban;FR.LCSQA-INERIS.AQ/NET-FR061A
STA-FR12047;STA-FR12047;FR.LCSQA-INERIS.AQ;2;FR12047;Bessi�res-ECONOTRE;BESSI�RES;FR12047;2005-07-25T00:00:00+01:00;;43.80314;1.595475;urn:ogc:def:crs:EPSG::4326;106;http://dd.eionet.europa.eu/vocabulary/uom/length/m;http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/rural-nearcity;FR.LCSQA-INERIS.AQ/NET-FR068A
STA-FR16034;STA-FR16034;FR.LCSQA-INERIS.AQ;2;FR16034;Strasbourg Clemenceau;STRASBOURG;FR16034;1998-12-01T00:00:00+01:00;;48.59043;7.744983;urn:ogc:def:crs:EPSG::4326;139;http://dd.eionet.europa.eu/vocabulary/uom/length/m;http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/urban;FR.LCSQA-INERIS.AQ/NET-FR075A
STA-FR30026;STA-FR30026;FR.LCSQA-INERIS.AQ;2;FR30026;Luneville;LUN�VILLE;FR30026;1995-12-12T00:00:00+01:00;;48.584824;6.4839;urn:ogc:def:crs:EPSG::4326;230;http://dd.eionet.europa.eu/vocabulary/uom/length/m;http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/urban;FR.LCSQA-INERIS.AQ/NET-FR075A
STA-FR12031;STA-FR12031;FR.LCSQA-INERIS.AQ;2;FR12031;Belesta en Lauragais;B�LESTA-EN-LAURAGAIS;FR12031;1999-07-26T00:00:00+01:00;;43.44139;1.821944;urn:ogc:def:crs:EPSG::4326;250;http://dd.eionet.europa.eu/vocabulary/uom/length/m;http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/rural-regional;FR.LCSQA-INERIS.AQ/NET-FR068A
STA-FR18055;STA-FR18055;FR.LCSQA-INERIS.AQ;1;FR18055;Creil R�publique;CREIL;FR18055;2018-01-01T00:00:00+01:00;;49.26034;2.475004;urn:ogc:def:crs:EPSG::4326;35;http://dd.eionet.europa.eu/vocabulary/uom/length/m;http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/urban;FR.LCSQA-INERIS.AQ/NET-FR074A
STA-FR82512;STA-FR82512;FR.LCSQA-INERIS.AQ;1;FR82512;Besancon rue Vesoul;BESAN�ON;FR82512;2014-01-13T00:00:00+01:00;2014-12-16T00:00:00+01:00;47.253292;6.016094;urn:ogc:def:crs:EPSG::4326;309;http://dd.eionet.europa.eu/vocabulary/uom/length/m;http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/urban;FR.LCSQA-INERIS.AQ/NET-FR076A
STA-FR35012;STA-FR35012;FR.LCSQA-INERIS.AQ;3;FR35012;LA NOUAILLE - MERA;LA NOUAILLE;FR35012;2003-08-20T00:00:00+01:00;;45.80509;2.062333;urn:ogc:def:crs:EPSG::4326;810;http://dd.eionet.europa.eu/vocabulary/uom/length/m;http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/rural-remote;FR.LCSQA-INERIS.AQ/NET-FR058A
STA-FR31019;STA-FR31019;FR.LCSQA-INERIS.AQ;1;FR31019;ABOS;ABOS;FR31019;1998-05-01T00:00:00+01:00;2014-01-03T00:00:00+01:00;43.359722;-0.566944;urn:ogc:def:crs:EPSG::4326;119;http://dd.eionet.europa.eu/vocabulary/uom/length/m;http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/rural;FR.LCSQA-INERIS.AQ/NET-FR058A
